person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
21,female,Bachelor,15394,MORTGAGE,3250,DEBTCONSOLIDATION,0.21,518,No,1
22,female,Bachelor,85243,RENT,27500,EDUCATION,0.32,583,No,1
22,male,Associate,288907,OWN,25000,PERSONAL,0.09,617,Yes,0
26,male,Associate,89074,RENT,27050,VENTURE,0.3,668,No,1
24,male,Master,100509,RENT,27000,PERSONAL,0.27,673,No,1
24,male,High School,88950,RENT,27000,VENTURE,0.3,706,No,1
23,female,High School,75894,RENT,26000,MEDICAL,0.34,536,No,1
23,male,Associate,145092,RENT,25600,EDUCATION,0.18,557,Yes,0
24,female,Bachelor,15928,OWN,1600,MEDICAL,0.1,689,Yes,0
22,male,Bachelor,73131,RENT,25475,VENTURE,0.35,681,No,1
25,male,Master,281501,MORTGAGE,20000,MEDICAL,0.07,623,Yes,0
24,female,Associate,281775,OWN,20000,HOMEIMPROVEMENT,0.07,595,Yes,0
26,male,Bachelor,281792,MORTGAGE,21600,HOMEIMPROVEMENT,0.08,584,Yes,0
25,male,Bachelor,266090,MORTGAGE,11900,DEBTCONSOLIDATION,0.04,669,No,1
26,male,High School,279664,MORTGAGE,25000,MEDICAL,0.09,642,Yes,0
25,female,High School,277017,MORTGAGE,35000,MEDICAL,0.13,622,Yes,0
23,male,Associate,100756,RENT,25300,EDUCATION,0.25,689,No,1
22,male,High School,16218,MORTGAGE,2000,PERSONAL,0.12,614,No,1
25,female,Bachelor,16211,OWN,1750,PERSONAL,0.11,597,Yes,0
21,female,Bachelor,51922,RENT,25000,EDUCATION,0.48,673,No,1
24,male,Associate,50309,RENT,25000,HOMEIMPROVEMENT,0.5,625,No,1
25,male,High School,16378,OWN,3000,DEBTCONSOLIDATION,0.18,603,No,1
24,male,Bachelor,16572,MORTGAGE,3650,HOMEIMPROVEMENT,0.22,589,No,1
26,male,Master,272201,MORTGAGE,20000,HOMEIMPROVEMENT,0.07,670,Yes,0
25,female,Bachelor,271324,MORTGAGE,30000,HOMEIMPROVEMENT,0.11,637,Yes,0
26,male,Associate,256862,MORTGAGE,35000,EDUCATION,0.14,643,No,1
24,male,High School,271342,RENT,6000,MEDICAL,0.02,508,Yes,0
24,male,High School,16470,MORTGAGE,4500,DEBTCONSOLIDATION,0.27,643,No,1
23,male,High School,16599,OWN,2400,DEBTCONSOLIDATION,0.14,505,No,1
22,male,Bachelor,51608,RENT,25000,MEDICAL,0.48,593,No,1
26,female,Master,58516,RENT,25000,EDUCATION,0.43,686,No,1
25,female,Associate,16395,OWN,3600,MEDICAL,0.22,646,No,1
22,female,Bachelor,16890,OWN,4750,EDUCATION,0.28,645,No,1
25,female,Associate,51747,RENT,25000,EDUCATION,0.48,697,No,1
21,male,High School,59864,RENT,25000,EDUCATION,0.42,648,No,1
25,male,Master,270972,MORTGAGE,25000,VENTURE,0.09,640,Yes,0
26,male,Bachelor,270870,RENT,3000,EDUCATION,0.01,681,No,0
23,female,Associate,270729,RENT,7500,DEBTCONSOLIDATION,0.03,646,No,0
26,male,Bachelor,270877,MORTGAGE,25000,VENTURE,0.09,615,Yes,0
22,male,Associate,60501,RENT,25000,PERSONAL,0.41,687,No,1
23,male,High School,60754,RENT,25000,DEBTCONSOLIDATION,0.41,650,No,1
25,male,Bachelor,60829,RENT,25000,HOMEIMPROVEMENT,0.41,588,No,1
24,male,Bachelor,53825,RENT,25000,DEBTCONSOLIDATION,0.46,652,No,1
23,male,High School,60801,RENT,25000,VENTURE,0.41,658,No,1
22,male,High School,60747,RENT,25000,VENTURE,0.41,634,No,1
22,female,High School,61029,RENT,25000,VENTURE,0.41,623,No,1
22,female,Associate,63236,RENT,25000,EDUCATION,0.4,635,No,1
23,female,Bachelor,17149,OWN,4950,DEBTCONSOLIDATION,0.29,531,No,1
24,female,Master,265066,MORTGAGE,25000,EDUCATION,0.09,665,Yes,0
23,male,Associate,260205,MORTGAGE,21000,DEBTCONSOLIDATION,0.08,703,No,0
25,female,Associate,260035,MORTGAGE,25000,EDUCATION,0.1,585,Yes,0
26,female,Bachelor,260444,MORTGAGE,20000,EDUCATION,0.08,594,No,0
23,male,Bachelor,258980,MORTGAGE,35000,MEDICAL,0.14,618,Yes,0
26,male,High School,259081,MORTGAGE,12000,EDUCATION,0.05,626,Yes,0
23,male,High School,63497,RENT,25000,PERSONAL,0.39,695,No,1
26,female,Doctorate,56325,RENT,25000,DEBTCONSOLIDATION,0.44,690,No,1
22,male,Bachelor,64842,RENT,25000,EDUCATION,0.39,574,No,1
26,female,High School,57856,RENT,25000,HOMEIMPROVEMENT,0.43,602,No,1
23,male,Associate,57318,RENT,25000,VENTURE,0.44,679,No,1
23,female,High School,16916,MORTGAGE,1400,EDUCATION,0.08,615,No,0
21,male,Master,16664,OWN,4500,VENTURE,0.27,601,No,1
22,male,Associate,252803,MORTGAGE,16000,VENTURE,0.06,577,Yes,0
26,female,Associate,253061,OWN,22000,PERSONAL,0.09,588,Yes,0
26,male,Bachelor,58602,RENT,25000,VENTURE,0.43,595,No,1
22,male,High School,67012,RENT,25000,EDUCATION,0.37,653,No,1
24,female,Master,66643,RENT,25000,HOMEIMPROVEMENT,0.38,663,No,1
23,male,Bachelor,66599,RENT,25000,EDUCATION,0.38,653,No,1
23,male,Associate,67212,RENT,25000,EDUCATION,0.37,598,No,1
24,female,High School,66918,RENT,25000,PERSONAL,0.37,630,No,1
26,male,Associate,68066,RENT,25000,DEBTCONSOLIDATION,0.37,637,No,1
24,male,Associate,245545,OWN,20000,MEDICAL,0.08,660,Yes,0
23,male,Associate,229083,MORTGAGE,22000,EDUCATION,0.1,639,No,1
23,male,High School,17859,OWN,7750,PERSONAL,0.43,626,No,1
24,female,Associate,72608,RENT,25000,PERSONAL,0.34,612,No,1
24,male,Bachelor,73073,RENT,25000,PERSONAL,0.34,628,No,1
26,female,Master,65880,RENT,25000,DEBTCONSOLIDATION,0.38,592,No,1
23,male,High School,17755,OWN,4000,DEBTCONSOLIDATION,0.23,580,No,1
24,male,Bachelor,241180,RENT,12000,MEDICAL,0.05,634,No,0
24,male,Associate,240894,MORTGAGE,12000,HOMEIMPROVEMENT,0.05,678,No,0
21,male,High School,240980,MORTGAGE,16000,EDUCATION,0.07,557,Yes,0
25,male,Bachelor,65742,RENT,25000,HOMEIMPROVEMENT,0.38,672,No,1
23,male,Bachelor,72713,RENT,25000,PERSONAL,0.34,613,No,1
23,male,High School,72627,RENT,25000,PERSONAL,0.34,566,No,1
21,male,Associate,72843,RENT,25000,EDUCATION,0.34,718,No,1
25,male,High School,75504,RENT,25000,MEDICAL,0.33,484,No,1
22,female,High School,68824,RENT,25000,HOMEIMPROVEMENT,0.36,634,No,1
23,female,Bachelor,241167,MORTGAGE,28000,EDUCATION,0.12,653,Yes,0
21,male,Bachelor,241060,MORTGAGE,25000,DEBTCONSOLIDATION,0.1,699,No,0
24,male,High School,240855,MORTGAGE,24000,VENTURE,0.1,656,Yes,0
26,male,High School,241030,MORTGAGE,15000,EDUCATION,0.06,626,Yes,0
25,male,High School,240895,MORTGAGE,15500,DEBTCONSOLIDATION,0.06,659,No,0
24,female,High School,240932,RENT,10000,EDUCATION,0.04,604,Yes,0
24,male,Associate,80145,RENT,25000,EDUCATION,0.31,636,No,1
22,male,Master,80303,RENT,25000,EDUCATION,0.31,554,No,1
22,male,High School,241048,MORTGAGE,9000,DEBTCONSOLIDATION,0.04,587,Yes,0
144,male,Associate,241424,MORTGAGE,6000,EDUCATION,0.02,807,No,0
25,male,Bachelor,241005,RENT,18000,EDUCATION,0.07,708,Yes,0
25,female,Master,240768,MORTGAGE,12000,VENTURE,0.05,669,Yes,0
25,male,Associate,241201,MORTGAGE,23050,PERSONAL,0.1,578,No,0
24,male,Bachelor,240920,MORTGAGE,20000,DEBTCONSOLIDATION,0.08,615,No,0
24,female,Master,72919,RENT,25000,DEBTCONSOLIDATION,0.34,553,No,1
21,male,Master,18008,OWN,3000,HOMEIMPROVEMENT,0.17,635,No,1
26,female,Associate,81238,RENT,25000,PERSONAL,0.31,531,No,1
23,male,High School,80868,RENT,25000,EDUCATION,0.31,621,No,1
24,male,Bachelor,81537,RENT,25000,VENTURE,0.31,674,No,1
24,female,Associate,82741,RENT,25000,PERSONAL,0.3,688,No,1
25,female,High School,83901,RENT,25000,PERSONAL,0.3,597,No,1
25,male,Associate,240717,MORTGAGE,12000,EDUCATION,0.05,640,No,0
26,female,Associate,226744,MORTGAGE,20000,VENTURE,0.09,621,No,1
26,female,Bachelor,241114,MORTGAGE,3000,PERSONAL,0.01,608,Yes,0
25,male,Bachelor,85284,RENT,25000,EDUCATION,0.29,653,No,1
22,female,Bachelor,18152,OWN,4000,MEDICAL,0.22,585,No,1
24,female,High School,84871,RENT,25000,EDUCATION,0.29,569,No,1
24,male,Bachelor,18294,OWN,6000,PERSONAL,0.33,587,No,1
24,male,Bachelor,68029,RENT,25000,MEDICAL,0.37,631,No,1
25,female,High School,80001,RENT,25000,VENTURE,0.31,592,No,1
26,female,High School,79875,RENT,25000,HOMEIMPROVEMENT,0.31,679,No,1
25,male,High School,18449,OWN,5375,EDUCATION,0.29,645,No,1
25,male,Associate,88153,RENT,25000,MEDICAL,0.28,669,No,1
23,female,Bachelor,90109,RENT,25000,MEDICAL,0.28,653,No,1
25,male,Bachelor,90938,RENT,25000,DEBTCONSOLIDATION,0.27,577,No,1
24,male,High School,231335,RENT,22000,MEDICAL,0.1,668,Yes,0
21,male,Bachelor,231829,MORTGAGE,20000,VENTURE,0.09,629,No,0
25,female,Associate,230516,MORTGAGE,10000,MEDICAL,0.04,643,No,0
26,male,Bachelor,229626,MORTGAGE,15000,PERSONAL,0.07,626,No,0
22,male,Bachelor,228907,MORTGAGE,10000,VENTURE,0.04,560,Yes,0
24,male,Bachelor,90938,RENT,25000,EDUCATION,0.27,648,No,1
22,male,Associate,86284,RENT,25000,EDUCATION,0.29,648,No,1
26,male,Associate,228774,MORTGAGE,20000,VENTURE,0.09,669,Yes,0
23,male,High School,229027,OWN,24000,PERSONAL,0.1,536,Yes,0
23,male,High School,94789,RENT,25000,DEBTCONSOLIDATION,0.26,548,No,1
23,female,Master,94780,RENT,25000,VENTURE,0.26,667,No,1
23,male,High School,95298,RENT,25000,VENTURE,0.26,676,No,1
25,male,Associate,223944,OWN,10000,VENTURE,0.04,570,Yes,0
24,male,High School,222629,MORTGAGE,35000,EDUCATION,0.16,623,No,0
25,female,Bachelor,222973,RENT,15000,VENTURE,0.07,652,Yes,0
24,female,High School,75240,RENT,25000,MEDICAL,0.33,625,No,1
23,female,High School,96143,RENT,25000,VENTURE,0.26,642,No,1
21,male,Bachelor,18064,OWN,6250,VENTURE,0.35,580,No,1
24,male,Associate,96627,RENT,25000,PERSONAL,0.26,622,No,1
24,male,Bachelor,96309,RENT,25000,EDUCATION,0.26,581,No,1
21,female,High School,18421,MORTGAGE,1500,MEDICAL,0.08,623,No,0
24,male,Master,96836,RENT,25000,EDUCATION,0.26,583,No,1
26,male,Bachelor,96947,RENT,25000,DEBTCONSOLIDATION,0.26,645,No,1
22,female,Associate,222975,RENT,25000,MEDICAL,0.11,593,Yes,0
26,male,Associate,222985,OWN,5000,PERSONAL,0.02,659,Yes,0
24,female,Bachelor,223064,RENT,22000,HOMEIMPROVEMENT,0.1,655,Yes,0
23,male,Associate,221559,OWN,2500,EDUCATION,0.01,583,Yes,0
24,female,Associate,207712,MORTGAGE,20000,DEBTCONSOLIDATION,0.1,582,No,1
24,female,Bachelor,220872,MORTGAGE,20000,MEDICAL,0.09,504,Yes,0
22,male,High School,220518,MORTGAGE,1000,EDUCATION,0,551,Yes,0
25,female,Associate,220510,MORTGAGE,15000,PERSONAL,0.07,529,Yes,0
23,female,Bachelor,89818,RENT,25000,DEBTCONSOLIDATION,0.28,674,No,1
26,female,High School,90006,RENT,25000,DEBTCONSOLIDATION,0.28,595,No,1
25,female,High School,98704,RENT,25000,DEBTCONSOLIDATION,0.25,597,No,1
23,male,High School,98967,RENT,25000,MEDICAL,0.25,566,No,1
24,male,High School,99435,RENT,25000,VENTURE,0.25,666,No,0
24,female,Bachelor,100658,RENT,25000,EDUCATION,0.25,695,No,0
24,female,Bachelor,100435,RENT,25000,PERSONAL,0.25,576,Yes,0
24,male,High School,216925,RENT,18000,EDUCATION,0.08,651,Yes,0
23,female,Bachelor,216891,MORTGAGE,28000,PERSONAL,0.13,633,Yes,0
23,male,Master,18512,OWN,4000,HOMEIMPROVEMENT,0.22,566,No,1
22,male,Master,18367,OWN,2100,PERSONAL,0.11,583,No,0
22,female,Associate,102317,RENT,25000,PERSONAL,0.24,586,Yes,0
24,female,Associate,103400,RENT,25000,MEDICAL,0.24,592,Yes,0
24,male,Bachelor,217134,MORTGAGE,14000,VENTURE,0.06,598,Yes,0
26,male,Master,217024,MORTGAGE,12000,VENTURE,0.06,637,Yes,0
25,female,High School,172215,MORTGAGE,10000,MEDICAL,0.06,628,No,1
23,male,Master,18831,MORTGAGE,6000,DEBTCONSOLIDATION,0.32,667,No,1
24,male,Associate,105349,RENT,25000,HOMEIMPROVEMENT,0.24,621,Yes,0
24,male,Bachelor,91184,RENT,25000,VENTURE,0.27,668,No,1
23,female,High School,91886,RENT,25000,DEBTCONSOLIDATION,0.27,544,No,1
23,male,Associate,80452,RENT,25000,MEDICAL,0.31,699,No,1
25,female,Bachelor,108758,RENT,25000,MEDICAL,0.23,611,No,0
21,male,Associate,18916,OWN,6200,HOMEIMPROVEMENT,0.33,615,No,1
26,female,High School,217234,OWN,25000,PERSONAL,0.12,559,Yes,0
24,female,High School,217017,OWN,21000,EDUCATION,0.1,577,Yes,0
25,male,High School,216874,OWN,20000,MEDICAL,0.09,657,Yes,0
26,male,Associate,216833,OWN,10000,HOMEIMPROVEMENT,0.05,676,Yes,0
25,male,Bachelor,216483,MORTGAGE,9950,VENTURE,0.05,601,No,0
23,female,Master,19000,OWN,4475,MEDICAL,0.24,647,No,1
23,female,Master,94363,RENT,25000,VENTURE,0.26,576,No,1
25,male,Master,80570,RENT,25000,MEDICAL,0.31,612,No,1
23,male,Bachelor,109167,RENT,25000,DEBTCONSOLIDATION,0.23,678,No,0
24,female,Associate,95753,RENT,25000,DEBTCONSOLIDATION,0.26,542,No,1
24,female,Associate,110935,RENT,25000,PERSONAL,0.23,709,Yes,0
25,male,Associate,111490,RENT,25000,HOMEIMPROVEMENT,0.22,622,Yes,0
24,male,Associate,111729,RENT,25000,VENTURE,0.22,642,Yes,0
23,female,High School,113396,RENT,25000,VENTURE,0.22,660,No,0
23,female,Bachelor,19175,MORTGAGE,1750,MEDICAL,0.09,587,Yes,0
23,female,High School,85787,RENT,25000,MEDICAL,0.29,646,No,1
25,female,Master,102114,RENT,25000,DEBTCONSOLIDATION,0.24,637,No,1
26,male,Bachelor,211005,MORTGAGE,2600,VENTURE,0.01,718,No,0
25,male,Master,210903,MORTGAGE,8000,HOMEIMPROVEMENT,0.04,588,Yes,0
22,male,Associate,210555,MORTGAGE,18000,EDUCATION,0.09,652,No,0
23,male,Bachelor,210937,MORTGAGE,21000,PERSONAL,0.1,620,Yes,0
23,male,High School,19062,OWN,4000,DEBTCONSOLIDATION,0.21,667,No,1
23,female,Associate,18926,OWN,4600,VENTURE,0.24,688,No,1
22,male,Associate,106694,RENT,25000,DEBTCONSOLIDATION,0.23,667,No,1
25,male,Master,90718,RENT,25000,MEDICAL,0.28,692,No,1
25,male,Bachelor,106668,RENT,25000,VENTURE,0.23,562,No,1
25,male,High School,19158,OWN,1750,HOMEIMPROVEMENT,0.09,625,Yes,0
26,male,High School,106419,RENT,25000,VENTURE,0.23,649,No,1
25,female,High School,120696,RENT,25000,VENTURE,0.21,545,Yes,0
23,male,High School,19065,MORTGAGE,3600,PERSONAL,0.19,540,No,1
24,female,Associate,124083,RENT,25000,PERSONAL,0.2,637,Yes,0
24,male,Associate,111673,RENT,25000,HOMEIMPROVEMENT,0.22,600,No,1
23,male,High School,112633,RENT,25000,DEBTCONSOLIDATION,0.22,633,No,1
22,male,High School,210938,RENT,3500,VENTURE,0.02,588,No,0
23,female,Associate,210720,MORTGAGE,7200,EDUCATION,0.03,624,Yes,0
25,male,High School,210705,RENT,9000,VENTURE,0.04,525,Yes,0
25,male,High School,209997,MORTGAGE,8800,DEBTCONSOLIDATION,0.04,616,Yes,0
26,female,Master,209873,RENT,12000,DEBTCONSOLIDATION,0.06,675,No,0
25,female,Associate,195268,MORTGAGE,25000,DEBTCONSOLIDATION,0.13,662,No,1
26,male,Master,209393,MORTGAGE,10000,VENTURE,0.05,585,Yes,0
21,male,Master,18773,OWN,3175,HOMEIMPROVEMENT,0.17,686,No,1
25,female,Bachelor,116439,RENT,25000,HOMEIMPROVEMENT,0.21,595,No,1
21,female,Associate,19169,MORTGAGE,1500,EDUCATION,0.08,537,Yes,0
24,female,High School,118417,RENT,25000,HOMEIMPROVEMENT,0.21,625,No,1
26,female,High School,133476,RENT,25000,PERSONAL,0.19,641,Yes,0
23,female,Associate,19312,MORTGAGE,2800,PERSONAL,0.14,661,No,1
25,male,High School,192351,RENT,30000,PERSONAL,0.16,577,No,1
24,male,Bachelor,206648,RENT,18000,DEBTCONSOLIDATION,0.09,537,Yes,0
25,female,High School,205046,MORTGAGE,10000,MEDICAL,0.05,646,Yes,0
24,male,High School,190735,RENT,25000,HOMEIMPROVEMENT,0.13,653,No,1
26,female,Associate,204872,RENT,13000,VENTURE,0.06,654,No,0
24,male,Associate,100758,RENT,25000,MEDICAL,0.25,635,No,1
24,female,Master,133231,RENT,25000,HOMEIMPROVEMENT,0.19,675,Yes,0
22,female,Master,18923,OWN,2500,HOMEIMPROVEMENT,0.13,618,No,1
25,female,Master,161894,RENT,5000,MEDICAL,0.03,609,No,1
25,female,Bachelor,205144,MORTGAGE,20000,EDUCATION,0.1,545,Yes,0
22,female,High School,121617,RENT,25000,DEBTCONSOLIDATION,0.21,629,No,1
25,male,Associate,136206,RENT,25000,MEDICAL,0.18,539,No,0
24,male,Master,144915,RENT,25000,EDUCATION,0.17,593,Yes,0
25,female,High School,145233,RENT,25000,MEDICAL,0.17,683,No,0
23,male,Bachelor,145002,RENT,25000,EDUCATION,0.17,670,Yes,0
24,male,Master,110953,RENT,25000,MEDICAL,0.23,662,No,1
21,female,High School,19414,OWN,1000,VENTURE,0.05,681,Yes,0
26,male,High School,130096,RENT,25000,PERSONAL,0.19,636,No,1
26,male,Master,157292,RENT,25000,PERSONAL,0.16,677,Yes,0
23,female,Bachelor,156995,RENT,25000,EDUCATION,0.16,656,Yes,0
23,female,Associate,156952,RENT,25000,VENTURE,0.16,674,Yes,0
25,female,Associate,205005,OWN,20000,EDUCATION,0.1,587,No,0
26,female,Bachelor,205060,MORTGAGE,12000,VENTURE,0.06,658,No,0
22,male,High School,203782,RENT,14000,PERSONAL,0.07,581,Yes,0
26,male,High School,203368,RENT,24250,MEDICAL,0.12,606,Yes,0
23,female,Associate,203403,RENT,20000,EDUCATION,0.1,648,No,0
24,female,Associate,202715,RENT,1800,HOMEIMPROVEMENT,0.01,563,Yes,0
25,female,Master,202525,MORTGAGE,35000,PERSONAL,0.17,589,Yes,0
24,male,Associate,161487,RENT,25000,DEBTCONSOLIDATION,0.15,641,No,0
24,male,Associate,19677,OWN,3300,HOMEIMPROVEMENT,0.17,637,No,1
24,male,High School,161952,RENT,25000,PERSONAL,0.15,578,Yes,0
25,female,Bachelor,161560,RENT,25000,MEDICAL,0.15,660,Yes,0
25,male,High School,19423,OWN,3200,VENTURE,0.16,586,No,1
25,male,Associate,163134,RENT,25000,EDUCATION,0.15,567,Yes,0
26,female,Bachelor,163683,RENT,25000,DEBTCONSOLIDATION,0.15,582,Yes,0
25,female,Bachelor,174972,RENT,25000,EDUCATION,0.14,712,Yes,0
23,male,High School,181016,RENT,25000,EDUCATION,0.14,674,No,0
23,female,Master,198920,MORTGAGE,9600,EDUCATION,0.05,532,Yes,0
22,female,Master,184800,MORTGAGE,24000,DEBTCONSOLIDATION,0.13,670,No,1
24,male,Master,198862,MORTGAGE,20000,PERSONAL,0.1,658,No,0
25,male,Associate,199407,MORTGAGE,25000,HOMEIMPROVEMENT,0.13,669,No,0
21,male,Bachelor,198803,MORTGAGE,20000,EDUCATION,0.1,681,Yes,0
23,male,Associate,20044,OWN,6000,MEDICAL,0.3,618,No,1
23,female,Bachelor,20401,MORTGAGE,2275,DEBTCONSOLIDATION,0.11,573,Yes,0
23,female,High School,19859,OWN,2000,PERSONAL,0.1,491,Yes,0
23,male,Master,178660,RENT,25000,DEBTCONSOLIDATION,0.14,590,No,1
23,female,High School,20421,MORTGAGE,5600,MEDICAL,0.27,587,No,1
24,male,Master,20353,OWN,3625,VENTURE,0.18,648,No,1
22,male,Master,20297,MORTGAGE,5500,VENTURE,0.27,687,No,1
25,male,Bachelor,210932,RENT,25000,PERSONAL,0.12,621,No,0
